reside_BUET	age	gen	mar_stat_single	mar_stat_married	edu_high	edu_college	curr_emp_unemp	curr_emp_part	org_na	org_self	curr_occu_na	curr_occu_elem	work_arr_home	work_arr_nofix	lics_yes	lics_no	acc_pv	acc_adult_bi	tPass_mrt	tPass_rapid	tPass_rs	tPass_ot	living_stat_1nf	living_stat_fc0	living_stat_fcm	living_stat_fjoin	dwell_type_sfr	dwell_type_apb	dwell_type_ap	dwell_type_temp	tenure_rent	tenure_mort	tenure_nomort	years_living_l1	years_living_13	years_living_410	years_living_m10	reside	lics_per	ft_wroker	pt_wroker	ft_std	pt_std	age_bel_18	age_abv_59	av_cy	av_mc	av_car	avg_inc	avg_hh_inc	n_trips_wk
0	25	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	4	0	1	1	2	0	0	0	0	0	1	37500	225000	0
0	23	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	37500	37500	5
1	23	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	62500	62500	5
0	24	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	62500	62500	0
1	23	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	37500	37500	1
1	24	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	5000	5000	0
1	26	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	62500	62500	5
0	24	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	37500	37500	2
0	24	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	0	87500	87500	3
0	23	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	4	1	1	1	2	2	1	0	1	1	1	62500	62500	5
